edit_history_tweet_ids,id,text
['1582416911005978640'],1582416911005978640,"Lixwm Weather Station, North Wales at an altitude of 205m or 672ft  18:00 PM, Temp 11.9C, Windchill 11.9C,  Wind 0.0, Max Wind Today 10.4, Rain  0.0mm, Pressure 1026.8 hpa, #Flintshire #NorthWales #UKWeather #webcam #weathercam #weather #sky #forecast #Delyn https://t.co/2MW2NtvRjZ"
['1582416263111839751'],1582416263111839751,"1700 UTC: Wind ENE 4 kts gust 6 kts. Temp 13.1 C (max 09-09 17.7 C at 13:32, min 09-09 5.2 C at 09:00), Dew pt 8.3 C, Grass Temp 8.7 C, Concrete Temp 11.1 C. Bar 1027.3 hPa, Falling slowly. Rain last hour 0.0 mm (rain 09-09 0.0 mm) #ukweather"
['1582416216076914691'],1582416216076914691,6:00 PMTemp 12.3°C Max 15.9°C (2:55 PM) Min 5.6°C (7:01 AM)Feels Like 11.4°C Humidity 74% Dew Pt 7.8°CWind 1.0mph (E) Max Gust 11.5mphRain  0.0mm Max Rate 0.0 mm/hr Month 75.4mmUV 0.0 Burntime 720minsSunrise 7:41 am Sunset 6:05 pm #ukweather #wx
['1582402851351171072'],1582402851351171072,"18 Oct 2022
BBC afternoon forecast
Obviously the Shetlands don't count as being in #Scotland.
Ben Rich seems more interested in the 22C forecast for the Channel Islands tomorrow afternoon than the 7C at Baltasound at 15 UTC.
#ukweather
@bbcweather https://t.co/w5aorz9iDf"
['1582401164049788930'],1582401164049788930,"1600 UTC: Wind E 4 kts gust 7 kts. Temp 14.3 C (max 09-09 17.7 C at 13:32, min 09-09 5.2 C at 09:00), Dew pt 8.7 C, Grass Temp 10.8 C, Concrete Temp 12.1 C. Bar 1027.3 hPa, Falling slowly. Rain last hour 0.0 mm (rain 09-09 0.0 mm) #ukweather"
['1582401116481867776'],1582401116481867776,5:00 PMTemp 13.8°C Max 15.9°C (2:55 PM) Min 5.6°C (7:01 AM)Feels Like 12.5°C Humidity 69% Dew Pt 8.2°CWind 5.0mph (NE) Max Gust 11.5mphRain  0.0mm Max Rate 0.0 mm/hr Month 75.4mmUV 0.0 Burntime 720minsSunrise 7:41 am Sunset 6:05 pm #ukweather #wx
['1582396201885786113'],1582396201885786113,"new #Weather #ukweather #WIndy #Sunny 

https://t.co/68fRB0ZoeO

@timesscotland @Daily_Record @guardiannews @FT @DailyMirror @NeilPicEd @iPicDesk @MetroUK @SunPictureDesk @Mailonlinepics @BBCScotlandNews @TelegraphPics @BenJonesPicEd @DStarPics @Daily_Express https://t.co/PUxHsEAjyV"
['1582386714617597953'],1582386714617597953,"Daily Max and Min, Alt 205m, 16:00 PM, Current Temp 14.9C, Todays: Min Temp 6.1C,  Max Temp 16.0C, Temp Change last hr -0.9C, #Flintshire #UKWeather #NorthWales https://t.co/gVsL71pQ6R"
['1582386068099194884'],1582386068099194884,"1500 UTC: Wind E 6 kts gust 11 kts. Temp 15.3 C (max 09-09 17.7 C at 13:32, min 09-09 5.2 C at 09:00), Dew pt 8.8 C. Bar 1027.2 hPa, Falling slowly. Rain last hour 0.0 mm (rain 09-09 0.0 mm) #ukweather"
['1582386018145415169'],1582386018145415169,4:00 PMTemp 15.2°C Max 15.9°C (2:55 PM) Min 5.6°C (7:01 AM)Feels Like 14.7°C Humidity 63% Dew Pt 8.2°CWind 3.0mph (ENE) Max Gust 9.2mphRain  0.0mm Max Rate 0.0 mm/hr Month 75.4mmUV 0.0 Burntime 720minsSunrise 7:41 am Sunset 6:05 pm #ukweather #wx
['1582370967229063169'],1582370967229063169,"1400 UTC: Wind E 5 kts gust 10 kts. Temp 16.7 C (max 09-09 17.7 C at 13:32, min 09-09 5.2 C at 09:00), Dew pt 9.4 C. Bar 1027.6 hPa, Falling slowly. Rain last hour 0.0 mm (rain 09-09 0.0 mm) #ukweather"
['1582370919158194176'],1582370919158194176,3:00 PMTemp 15.8°C Max 15.9°C (2:55 PM) Min 5.6°C (7:01 AM)Feels Like 15.1°C Humidity 61% Dew Pt 8.3°CWind 5.0mph (S) Max Gust 9.2mphRain  0.0mm Max Rate 0.0 mm/hr Month 75.4mmUV 0.8 Burntime 140minsSunrise 7:41 am Sunset 6:05 pm #ukweather #wx
['1582369620668751926'],1582369620668751926,"Lovely sunny day here in Preston ☀️☀️🍁🍂 today 

Temperature is 16°C 

#Ukweather https://t.co/Bu2UIQE2ZT"
['1582356519005589511'],1582356519005589511,"Lixwm Weather Station, North Wales at an altitude of 205m or 672ft  14:00 PM, Temp 15.5C, Windchill 15.5C,  Wind 0.5, Max Wind Today 10.4, Rain  0.0mm, Pressure 1027.4 hpa, #Flintshire #NorthWales #UKWeather #webcam #weathercam #weather #sky #forecast #Delyn https://t.co/tPLNaOsvgD"
['1582355867436871681'],1582355867436871681,"1300 UTC: Wind E 6 kts gust 12 kts. Temp 16.8 C (max 09-09 17.4 C at 11:56, min 09-09 5.2 C at 09:00), Dew pt 10.0 C. Bar 1027.9 hPa, Falling slowly. Rain last hour 0.0 mm (rain 09-09 0.0 mm) #ukweather"
['1582355817592156162'],1582355817592156162,2:00 PMTemp 14.6°C Max 14.6°C (1:40 PM) Min 5.6°C (7:01 AM)Feels Like 14.0°C Humidity 69% Dew Pt 9.0°CWind 4.0mph (ENE) Max Gust 7.0mphRain  0.0mm Max Rate 0.0 mm/hr Month 75.4mmUV 1.3 Burntime 86minsSunrise 7:41 am Sunset 6:05 pm #ukweather #wx
['1582340764830343168'],1582340764830343168,"1200 UTC: Wind ENE 8 kts gust 12 kts. Temp 17.3 C (max 09-09 17.4 C at 11:56, min 09-09 5.2 C at 09:00), Dew pt 10.9 C. Bar 1028.3 hPa, Falling slowly. Rain last hour 0.0 mm (rain 09-09 0.0 mm) #ukweather"
['1582340718395158529'],1582340718395158529,1:00 PMTemp 14.1°C Max 14.1°C (12:59 PM) Min 5.6°C (7:01 AM)Feels Like 14.2°C Humidity 74% Dew Pt 9.5°CWind 2.0mph (E) Max Gust 6.0mphRain  0.0mm Max Rate 0.0 mm/hr Month 75.4mmUV 1.4 Burntime 80minsSunrise 7:41 am Sunset 6:05 pm #ukweather #wx
['1582334936463220736'],1582334936463220736,"#NicolaSturgeon
#NHS
#NorthernIrelandProtocol
#RishiSunak
#RailStrikes
#ScottishIndependence
#SewageScandal
#StampDuty
#ThePound
#UKEconomy
#UKPolitics
#UKPoverty
#UKWeather
#UK/#France
#UK/#EU
#UK/#Russia
#UK/#Rwanda
#UK/#Ukraine
#UK/#US"
['1582329721693487104'],1582329721693487104,"#fog timelapse
A dog bank to my East and north drifted in and out of my neighbourhood. #ukweather #WeatherUpdate https://t.co/1U58s1K5dd"
['1582326319844507648'],1582326319844507648,"Month to date: Max Temp 16.7C, Min Temp 4.2C, Average Temp 11.2C, Rain 32.2mm, Days with rain 12, Temp Change last 24hrs +0.1C #UKWeather #Flintshire #NorthWales #webcam #weathercam #weather #sky #forecast #clwydianrange #Delyn #today https://t.co/TbwtbNayIx"
['1582325667110088705'],1582325667110088705,"1100 UTC: Wind E 4 kts gust 5 kts. Temp 13.9 C (max 09-09 13.9 C at 10:58, min 09-09 5.2 C at 09:00), Dew pt 13.0 C. Bar 1028.7 hPa, Rising slowly. Rain last hour 0.0 mm (rain 09-09 0.0 mm) #ukweather"
